startdate,enddate,ticker
31-03-2018,30-06-2018,AIFL.NS
31-03-2018,30-06-2018,CANDC.NS
31-03-2018,30-06-2018,GET&D.NS
31-03-2018,30-06-2018,JETAIRWAYS.NS
30-06-2018,30-09-2018,AIFL.NS
30-06-2018,30-09-2018,CANDC.NS
30-06-2018,30-09-2018,KGL.NS
30-06-2018,30-09-2018,SITASHREE.NS
30-09-2018,31-12-2018,CANDC.NS
30-09-2018,31-12-2018,CELESTIAL.NS
30-09-2018,31-12-2018,HDIL.NS
30-09-2018,31-12-2018,HINDSYNTEX.NS
30-09-2018,31-12-2018,KGL.NS
30-09-2018,31-12-2018,SITASHREE.NS
31-12-2018,31-03-2019,CELESTIAL.NS
31-12-2018,31-03-2019,HDIL.NS
31-12-2018,31-03-2019,HINDSYNTEX.NS
31-12-2018,31-03-2019,JAIHINDPRO.NS
31-12-2018,31-03-2019,JAINSTUDIO.NS
31-12-2018,31-03-2019,KGL.NS
31-12-2018,31-03-2019,PETRONENGG.NS
31-03-2019,30-06-2019,ATLASCYCLE.NS
31-03-2019,30-06-2019,BALLARPUR.NS
31-03-2019,30-06-2019,BILENERGY.NS
31-03-2019,30-06-2019,CELESTIAL.NS
31-03-2019,30-06-2019,CIMMCO.NS
31-03-2019,30-06-2019,GSKCONS.NS
31-03-2019,30-06-2019,HINDSYNTEX.NS
31-03-2019,30-06-2019,JAIHINDPRO.NS
31-03-2019,30-06-2019,NAGAROIL.NS
31-03-2019,30-06-2019,PETRONENGG.NS
31-03-2019,30-06-2019,STINDIA.NS
30-06-2019,30-09-2019,ATLASCYCLE.NS
30-06-2019,30-09-2019,AUTOLITIND.NS
30-06-2019,30-09-2019,BALLARPUR.NS
30-06-2019,30-09-2019,BILENERGY.NS
30-06-2019,30-09-2019,CIMMCO.NS
30-06-2019,30-09-2019,EON.NS
30-06-2019,30-09-2019,GSKCONS.NS
30-06-2019,30-09-2019,GVKPIL.NS
30-06-2019,30-09-2019,JAIHINDPRO.NS
30-06-2019,30-09-2019,KSK.NS
30-06-2019,30-09-2019,OISL.NS
30-06-2019,30-09-2019,PETRONENGG.NS
30-06-2019,30-09-2019,RNAVAL.NS
30-06-2019,30-09-2019,SELMCL.NS
30-06-2019,30-09-2019,SPENTEX.NS
30-06-2019,30-09-2019,SRSLTD.NS
30-06-2019,30-09-2019,STINDIA.NS
30-06-2019,30-09-2019,TECHNOFAB.NS
30-06-2019,30-09-2019,UNITECH.NS
30-09-2019,31-12-2019,AHLEAST.NS
30-09-2019,31-12-2019,ATLASCYCLE.NS
30-09-2019,31-12-2019,AUTOLITIND.NS
30-09-2019,31-12-2019,BALLARPUR.NS
30-09-2019,31-12-2019,BILENERGY.NS
30-09-2019,31-12-2019,CIMMCO.NS
30-09-2019,31-12-2019,DQE.NS
30-09-2019,31-12-2019,EON.NS
30-09-2019,31-12-2019,GSKCONS.NS
30-09-2019,31-12-2019,GVKPIL.NS
30-09-2019,31-12-2019,KSK.NS
30-09-2019,31-12-2019,METALFORGE.NS
30-09-2019,31-12-2019,OISL.NS
30-09-2019,31-12-2019,RNAVAL.NS
30-09-2019,31-12-2019,SELMCL.NS
