startdate,enddate,ticker,changelist
31-12-2019,31-03-2020,CHROMATIC.NS,89.99999761581421
31-12-2019,31-03-2020,DBREALTY.NS,37.61468371521429
31-12-2019,31-03-2020,DLF.NS,10.583941605839415
31-12-2019,31-03-2020,DQE.NS,89.99999761581421
31-12-2019,31-03-2020,ENERGYDEV.NS,81.70731664767654
31-12-2019,31-03-2020,EROSMEDIA.NS,105.747126562779
31-12-2019,31-03-2020,EXIDEIND.NS,15.084019939105564
31-12-2019,31-03-2020,GARDENSILK.NS,141.0714326768506
31-12-2019,31-03-2020,GATI.NS,-9.890111565224807
31-12-2019,31-03-2020,GOENKA.NS,519.9999809265137
31-12-2019,31-03-2020,GOKEX.NS,28.484853108723957
31-12-2019,31-03-2020,HARRMALAYA.NS,33.8952954593119
31-12-2019,31-03-2020,HINDNATGLS.NS,20.909090909090907
31-12-2019,31-03-2020,IFCI.NS,90.1234431267518
31-12-2019,31-03-2020,IIFL.NS,-8.086423520688657
31-12-2019,31-03-2020,ITDC.NS,70.1938544057657
31-12-2019,31-03-2020,JAYNECOIND.NS,100.0
31-12-2019,31-03-2020,JMA.NS,21.369860923453555
31-12-2019,31-03-2020,KANANIIND.NS,221.73914125150475
31-12-2019,31-03-2020,KAVVERITEL.NS,0.0
31-12-2019,31-03-2020,KECL.NS,79.33333079020183
31-12-2019,31-03-2020,KERNEX.NS,40.00000586876503
31-12-2019,31-03-2020,KIRLOSENG.NS,27.53368531942671
31-12-2019,31-03-2020,KWALITY.NS,261.53846012770066
31-12-2019,31-03-2020,LAKSHVILAS.NS,130.95238095238096
31-12-2019,31-03-2020,LOVABLE.NS,39.05110376552401
31-12-2019,31-03-2020,MADHAV.NS,41.76136489865206
31-12-2019,31-03-2020,MAHINDCIE.NS,88.85449362490849
31-12-2019,31-03-2020,MAHSEAMLES.NS,12.738696534429964
31-12-2019,31-03-2020,MANAKCOAT.NS,123.99999618530273
31-12-2019,31-03-2020,MCDHOLDING.NS,107.78689162124402
